Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Name_English,Name_English_Under_Index
607,614,EB-8.2,vAtajagulmaH,vātajagulmaḥ,वातजगुल्मः,-,"the disorder is characterized by muhuḥ ādhmānam [frequent increase in size], muhuḥ alpatvam āpadyatē [frequent reduction in size], aniyatavipulāṇuvēdanā [inconsistent pain i.e. severe or less pain], aṁgēṣu muhuḥ pipīlikāsaṁpracāra iva [feel as if ants are moving on body], tōdabahulaḥ [severe pricking type of pain], bhēdabahulaḥ [severe splitting type of pain], sphuraṇabahulaḥ [severe pulsating type of sensation], āyāmabahulaḥ [severe stretching type of pain], saṁkōcabahulaḥ [severe contraction type of pain], suptibahulaḥ [severe feeling of numbness], harṣabahulaḥ [severe feel of horripilation], pralayōdayabahulaḥ [severity in arise and decrease of above signs and symptoms], sūcyēva saṁviddhamātmānaṁ manyatē/sūcyēvavyathā [feel as if suffering with perforation/piercing type of pain], śaṁkunēva saṁviddhamātmānaṁ manyatē [feel as if pierced by śaṅku], divasāntē jvaraḥ [fever at the end of day], āsyaśōṣaḥ/mukhaśōṣaḥ/vaktraśōṣaḥ [dryness in mouth], ucchvāsōparōdhaḥ [obstruction in expiration], vēdanāprādurbhāvē rōmaharṣaḥ [horripilation during pain], plīhā [plīha (spleenomegaly)], āṭōpaḥ [gurgling sound of the intestines/barborygmus], āntrakūjanam [barborygmus/gurgling sound of intestines], avipākaḥ [indigestion], udāvartaḥ [upward movement of vāta], aṁgamardaḥ [generalized bodyache], manyāśūlaḥ [neck pain], śiraḥśūlaḥ [headache], śaṁkhaśulaḥ [pain in temporal region], bradhnarōgaḥ [swelling in inguinal region/hernia?], kr̥ṣṇatvak [blackish discoluration of skin], kr̥ṣṇanakhaḥ [blackish discolouration of nails], kr̥ṣṇanayanam [blackish discolouration of eyes], kr̥ṣṇavadanam [blackish discolouration of face], kr̥ṣṇamūtram [blackish discolouration of urine], kr̥ṣṇapurīṣaḥ [blackish discolouration of feces], arūṇatvak [slightly reddish discolouration of skin], arūṇanakhaḥ [slightly reddish discolouration of nails], arūṇanayanam [slightly reddish discolouration of eyes], arūṇavadanam [slightly reddish coloured face], arūṇamūtram [slightly reddish dis colouration of urine], arūṇapurīṣaḥ [slightly reddish discolouration of feces], paruṣatvak [rough/dry skin], paruṣanakhaḥ [rough nails], paruṣanayanam [roughness of eyes], paruṣavadanam [roughness of mouth/face], paruṣamūtram [roughness of urine], paruṣapurīṣaḥ [roughness of feces], hr̥̄cchūlaḥ/hr̥drujā [pain in the precordium/cardiac region], kukṣiśūlaḥ/kukṣirujā [pain in abdomen], kaṇṭhaśōṣaḥ/galaśōṣaḥ [dryness in the throat], vāyunirōdhaḥ [confined vayu/lack of movement of vāyu], viṣamāgnitā [irregular agni], pavanavikāraḥ [diseases caused due to vāta], jvaraḥ [fever], kr̥cchrāducchvasanam muhuḥ [frequent difficult expiration], gātrastambhaḥ [stiffness of body parts], kārśayam [emaciation], rūkṣatvak [dryness of skin], anirūpitasaṁsthānaḥ [not having ascertained form, shape], anirūpitasthānaḥ [not having ascertained area, site], anirūpitavr̥ddhiḥ [not having ascertained growth], anirūpitakṣayaḥ [not having ascertained decrease], anirūpitavyathā [not having ascertained pain], pipīlikā vyāpta iva/pipīlikā parigata iva [feels as if ants are covered all over], vāyuḥ kālēṣu upadravavr̥ddhiḥ [increase in complication in vata kala?], vistārayati carma kadācit [occassionly stetching of skin], saṁkōcayati carma kādācit [occassionly contraction of skin], sarvasmin dēhē vēdanāऽpi prāyaḥ vastyāśrayaḥ [whole body pain but mainly at basti], śiśirajvaraḥ [pyrexia with chills], pārśvarujā [pain in sides of chest/flanks], aṁsarujā [pain in shoulders], śirōrujā [headache], jīrṇē adhikaṁ prakōpaḥ [incrased after digestion of food], bhaktē mr̥dutvaṁ samupaiti [gets softened while eating]",-,gulma due to vāta,-
608,615,EB-8.3,pittajagulmaH,pittajagulmaḥ,पित्तजगुल्मः,-,"the disorder is characterized by kukṣividāhaḥ [burning sensation in abdomen], hr̥dayavidāhaḥ [burning sensation in cardiac region], urōvidāhaḥ [burning sensation in chest], kaṇṭhavidāhaḥ [burning sensation in throat], sadhūmōdgāraḥ/dhūmāyatē [smoky euctation/s], amlānvitōdgāraḥ [acid eructations], gulmāvakāśaḥ dahyatē [feel as if burning], gulmāvakāśaḥ dūyatē [pain], gulmāvakāśaḥ dhūpyatē [emits smoke], gulmāvakāśaḥ ūṣmāyatē/sōṣmā (gulmaḥ) [hot in nature], gulmāvakāśaḥ svidyati [perspire], gulmāvakāśaḥ klidyati [wet], gulmāvakāśaḥ dahyatē/svasthānaṁ dahatīva [burning], sparśāsahaḥ/sparśanāsahaḥ/śithilavraṇa iva sparśāsahaḥ [tenderness/tenderness as if loose/lax/nonhealed wound], alparōmāñcaḥ [slight excitement/bristling], jvaraḥ [fever], bhramaḥ [giddiness or dizziness], davathuḥ [burning/excessive warmth/inflammation of eyes], pipāsā/tr̥ṣṇā/tr̥ṭ [thirst], galaśōṣaḥ [dryness in throat], tāluśōṣaḥ [dryness of palate], mukhaśōṣaḥ [dryness of mouth], pramōhaḥ [fainting/severe confusion], viḍbhēdaḥ [altered stools/loose motions], haritatvak [greenish discolouration of skin], haritanayanam [green coloured eyes], haritavadanam [greenish discolouration of face], haritamūtram [green coloured urine], haritapurīṣam [greenish discolouration of feces], hāridratvak [yellow coloured skin], hāridranayanam [yellow coloured eyes], hāridravadanam [yellow coloured face], hāridramūtram [yellowish discoluration of urine], hāridrapurīṣam [yellow coloured feces], svēdaḥ [perspiration], āhāravidāhaḥ [indigestion of food/turning acid of food], dāhaḥ [burning sensation], aṅgarāgaḥ [reddish dis colouration of body], kaṭuvaktratā [pungent taste in the mouth], amlakaḥ [sour belching/eructation], mūrcchā [syncope/attacks of swooning], dīpyatē (gulmaḥ) [burning sensation of gulma], śītōpaśayatā [relief with cold], tapta ayaḥpiṇḍa iva avakāśaṁ dahati [feels as if burnt by hot metal ball], nirlōmaḥ [hairless], prāyaḥ nābhyāśrayaḥ [generally resides at nābhi], vadanarāgaḥ [reddish dis colouration of face], jīryati mahat śūlam [severe pain during digestion], bhōjanē mahat śūlam [severe pain while eating]",-,gulma due to pitta,-
609,616,EB-8.4,kaPajagulmaH,kaphajagulmaḥ,कफजगुल्मः,-,"the disorder is characterized by śītajvaraḥ/śiśirajvaraḥ [fever with chills], arōcakaḥ/annāruciḥ [tastelessness], avipākaḥ [indigestion], aṅgamardaḥ [generalised bodyache], aṅgaharṣaḥ [horripilation], hr̥̄drōgaḥ [disease of heart], chardiḥ [vomiting], nidrā [sleep], ālasyam [lethargy], staimityam [a sensation of being covered with wet clothes], gauravam [heaviness], śirōऽbhitāpaḥ [burning sensation in head], gulmasya sthiratvam [stable gulma], gulmasya gauravam [heavy gulma], gulmasya kāṭhinyam [hardness], gulmasya avagāḍhatvam [deepened], gulmasya suptatā [numb/immobile], kāsaḥ (atipravr̥ddhaḥ) [cough (severe)], śvāsaḥ (atipravr̥ddhaḥ) [severe breathlessness/difficult breathing], pratiśyāyaḥ (atipravr̥ddhaḥ) [cold, catarrh ( severe)], rājayakṣmā (atipravr̥ddhaḥ) [fulminant rājayakṣmā (tuberculosis)], tvak-śvaityam [whitish discolouration of skin], nayana-śvaityam [whitish discolouration of eyes], vadana-śvaityam [whitish discolouration of face], mūtra-śvaityam [light /whitish coloured urine], purīṣa-śvaityam [light /whitish coloured stool], aṅgasādaḥ/gātrasādaḥ [exhaustion or tirednes to body /inability to perform physical activities], prasēkaḥ [excessive salivation], madhurāsyatā [sweet taste in mouth], kaphasya liṅgāni [signs of kapha], pīnasaḥ [cold, catarrh], hr̥llāsaḥ [nausea], śaityam [coldness], alparuk [mild pain], gulmasya unnatatvam [elevated gulma]",-,gulma due to kapha,-
610,617,EB-8.5,raktajagulmaH,raktajagulmaḥ,रक्तजगुल्मः,-,"the disorder is characterized by ārtavarōdhaḥ [stoppage/supression of menstrual flow], kukṣi abhivardhanam (uparuddha ārtavēna) [increase in size of abdomen (due to supression of menstruation)], śūlaḥ [colicky pain in the abdomen], kāsaḥ [cough], atisāraḥ [diarrhoea], chardiḥ [vomiting], arōcakaḥ [tastelessness], avipākaḥ [indigestion], aṁgamardaḥ [generalized bodyache], nidrā [sleep], ālasyam [lethargy], stimityam [feeling as if covered with wet cloth], kaphaprasēkaḥ [salivation], stanyapravr̥ttiḥ/stanyadarśanam [expression of breast milk], ōṣṭha kārṣṇyam [blackish lips], stanamaṇḍalakārṣṇyam [blackish breast areola], cakṣuṣaḥ atyarthaṁ glāniḥ [severe fatigue of eyes], mūrcchā [syncope/attacks of swooning], hr̥llāsaḥ [nausea], dōhadaḥ [having longing desire/desire found in pregnant lady], pādaśvayathuḥ [pedal oedma], rōmarājyāḥ īṣadudgamaḥ [slight appearance of abdominal striae/striae gravidarum], yōnyāḥ āṭalatvam [dilatation of yōni (vagina)], yōni daurgandhyam [bad odour of yōni], yōnisrāvaḥ [discharge from yōni (vagina)], piṇḍita iva spandatē gulmaḥ [pulsating lump/quickening], pittagulmasamānaliṁgam [signs of pitta gulma], na spandatē (gulmaḥ) [no pulsation], na udaravr̥ddhiḥ [no abdominal enlargment], garbhiṇīliṁgāni/garbhaliṁgaḥ [signs of pregnancy], dauhr̥daḥ [having longing desire/desire found in pregnant lady], kṣāmatā adhikam [more weak/debilitated], stambhaḥ [rigidity/stiffness], dāhaḥ [burning sensation], atisāraḥ [diarrhoea], garbhāśayē sutarāṁ śūlam [pain in garbhaśaya], gulmaḥ cirēṇa saśūlaṁ spandatē [delayed pulsation with pain]",-,pseudocyesis,-
611,618,EB-8.6,sAnnipAtajagulmaH,sānnipātajagulmaḥ,सान्निपातजगुल्मः,-,"the disorder is characterized by tridōṣaliṁgasannipātaḥ [clinical features of all three dōṣa], sarvavikārayuktaḥ [clinical features of all types of gulma], mahārujaṁ/tīvraruk [severe/excruciating pain], dāhaparītam/tīvradāhaḥ [associated with severe burning sensation], aśmavadghanam [stone like compactness], aśmavadunnataṁ [stone like elevation], śīghravidāhi [quick sloughing], dāruṇam [severity], śarīrabalāpahārī [reducing of the strength of the body], manōbalāpahārī [reducing of the strength of the mind], agnibalāpahārī [reducing of the strength of agni], śīghrapākī [suppurates quickly], ghanaḥ [thick and dense lesion], unnataḥ [elevated]",-,gulma due to three dōṣa,-
612,619,EB-8.7,dvandvajagulmaH,dvandvajagulmaḥ,द्वन्द्वजगुल्मः,-,the disorder is characterized by saṁsr̥ṣṭalakṣaṇaḥ [clinical features of mixed dōṣa],-,glma due to two dōṣa,-
613,620,EB-8.8,vidahyamAnagulmaH,vidahyamānagulmaḥ,विदह्यमानगुल्मः,-,"the disorder is characterized by dāhaḥ [burning sensation], śūlaḥ [colicky pain in the abdomen], artiḥ [pain], saṁkṣōbhaḥ [agitation], svapnanāśaḥ [sleeplessness], aratiḥ [distress/dicontent/restlessness], jvaraḥ [fever]",-,gulma with burning sensation,-
614,621,EB-8.9,apakvagulmaH,apakvagulmaḥ,अपक्वगुल्मः,-,"the disorder is characterized by guruḥ [heaviness], kaṭhinasaṁsthānaḥ [hard form], gūḍhamāṁsāntarāśrayaḥ [having base in deep māṁsa], avivarṇaḥ [colour of avi/blackish coloured], sthiraḥ [firm/fixed]",-,gulma in apakva stage,-
615,622,EB-8.10,pakvagulmaH,pakvagulmaḥ,पक्वगुल्मः,-,"the disorder is characterized by bahistuṁgaḥ [protruding out/elevated], samunnataḥ [uniform elevation], śyāvaḥ [bluish black colour], saraktaparyantaḥ [reddish borders of elevated part], bastisannibhē saṁsparśē [feel like basti/urinary bladder on palpation], nipīḍitōnnataḥ [rebound elevation after pressing], stabdhaḥ [stiffness], suptaḥ pārśvāvapīḍitē [dull pain/numbness on pressing on lateral sides of gulma], śūlaḥ piṇḍītē [localised pain]",-,gulma in pakva stage,-
616,623,EB-8.11,asAdhya-gulmaH,asādhya-gulmaḥ,असाध्य-गुल्मः,-,"the disorder is characterized by mahāvastuparigrahaḥ [occupying whole abdomen], kr̥tamūlaḥ [deep rooted], sirānaddhaḥ [embeded with plexus of vessels], kūrma iva utthitaḥ [eleved as tortoise back], daurbalyam [weakness], aruciḥ [tastelessness], hr̥llāsaḥ [nausea], kāsaḥ [cough], chardiḥ [vomiting], aratiḥ [distress/dicontent/restlessness], jvaraḥ [fever], tr̥ṣṇā [thirst], tandrā [drowsiness/lassitude], pratiśyāyaḥ [cold, catarrh]",-,intractable gulma,-
617,624,EB-8.12,antargulmaH,antargulmaḥ,अन्तर्गुल्मः,-,"the disorder is characterized by bastivēdanā [pain in basti/urinary bladder], kukṣivēdanā [pain in abdomen], plīhavēdanā [pain in splenic region], agnibhraṁśaḥ [deviation/decline of agni], varṇabhraṁśaḥ [deviation/loss of complexion/lustre], balabhraṁśaḥ [diminution of physical strength], vēgānāṁ apravartanam [retention/supression of natural urges]",-,internal gulma,-
618,625,EB-8.13,bAhyagulmaH,bāhyagulmaḥ,बाह्यगुल्मः,-,"the disorder is characterized by kōṣṭhāṁgēṣu na atiruk [dull pain in abdominal organs], vaivarṇayam [discolouration], avakāśasya bahirunnatatā [protruding out/elevated]",-,gulma due to external cause,-
619,626,EB-8.14,gulma-upadravaH,gulma-upadravaḥ,गुल्म-उपद्रवः,-,"the disorder is characterized by nikhānitamiva śūlam [nailing type of pain], viṇmūtrasaṁrōdhaḥ [retention of faeces and urine], kr̥cchrōcchvāsaḥ [difficulty in breathing], sthirāṅgatā [stiffness of the limbs], tr̥ṣṇā [thirst], dāhaḥ [burning sensation], bhramaḥ [giddiness or dizziness], ānnasya vidagdhaparivr̥ddhitā [increase of pain and acidity during digestion of food], rōmaharṣō [horripilation], aruciḥ [tastelessness], chardiḥ [vomiting], bhuktavr̥ddhiḥ [increase of pain just after meals], jaḍāṅgatā [stiffness of the body]",-,complications of gulma,-
620,627,EB-8.15,gulma-ariShTaH,gulma-ariṣṭaḥ,गुल्म-अरिष्टः,-,-,-,fatal signs of gulma,-
621,628,EB-9,pravAhikA,(a) pravāhikā,प्रवाहिका,-,"It is characterised by frequent passage of stools which may be associated with blood or mucus, tenesmus. This may be explained by: (a)Increased vatadosha pushing the accumulated kaphadosha downwards through the intestinal tract.",-,Dysentery disorder (TM2),-
622,629,EB-9.1,vAtika-pravAhikA,vātika-pravāhikā,वातिक-प्रवाहिका,-,the disorder is characterized by saśūlapurīṣa-pravr̥ttiḥ [colic pain during defecation],-,pravāhikā due to vāta,-
623,630,EB-9.2,paittika-pravAhikA,paittika-pravāhikā,पैत्तिक-प्रवाहिका,-,the disorder is characterized by sadāhapurīṣa-pravr̥ttiḥ [burning sensation during defecation],-,pravāhikā due to pitta,-
624,631,EB-9.3,kaPaja-pravAhikA,kaphaja-pravāhikā,कफज-प्रवाहिका,-,the disorder is characterized by sakaphapurīṣa-pravr̥ttiḥ [stool with mucus],-,pravāhikā due to kapha,-
625,632,EB-9.4,raktajapravAhikA,(a) raktaja-pravāhikā,रक्तजप्रवाहिका,-,"It is characterised by passing of blood mixed stools, pain, heaviness in anal region accompanied with the discharge of mucilaginous material and colicky abdominal pain. This may be explained by: (a) Vitiated pitta, blood affects the Descending vata.",-,Bowel inflammation disorder (TM2),-
626,633,EB-10,SUlaH,(a) śūlaḥ,शूलः,-,"It is characterised by pain in abdomen, burning sensation, distension and flatulence. This may be explained by: (a) Vitiated dosha especially vatadosha affecting the abdominal organs.",-,Abdominal pain disorder (TM2),-
627,634,EB-10.1,vAtajaSUlaH,vātajaśūlaḥ,वातजशूलः,-,"the disorder is characterized by tīvraśūlaḥ (nirāhārasya) [severe pain on empty stomach], prastabdhagātratā [severe stiffness of body], kr̥cchrōcchvāsaḥ [difficulty in breathing], kr̥cchrēṇa vātapravr̥ttiḥ [difficulty in passing flatus], kr̥cchrēṇa mūtrapravr̥ttiḥ [difficulty in micturition], kr̥cchrēṇa purīṣapravr̥ttiḥ [difficulty in defecation], hr̥dayaśūlaḥ [pain in the pericordial region], pārśvaśūlaḥ [pain in sides of chest/flanks], pr̥ṣṭhaśūlaḥ [pain in back], trikaśūlaḥ [pain in the sacral region], basti-śūlaḥ [pain in basti/urinary bladder], jīrṇē śūlaḥ [pain occurs after food has been digested], pradōṣē śūlaḥ [pain during twilights], ghanāgamē śūlaḥ [pain during cloudy weather], śītē śūlaḥ [pain when it is cold], muhurmuhu prakōpaḥ (śūlaḥ) [exacerbationn of pain again and again], muhurmuhuścōpaśamaḥ (śūlaḥ) [remission of pain again and again], viṭ-saṁstambhanam [retension of faeces], vāta-saṁstambhanam [retension of flatus], tōdaḥ [pricking pain], bhēdaḥ [breaking type of pain], saṁsvēdanēna śamaṁ prayāti (śūlaḥ) [pain relieved by svēdana (sudation)], abhyañjanēna śamaṁ prayāti(śūlaḥ) [pain relieved by snēhana (inunction)], mardanēna śamaṁ prayāti (śūlaḥ) [pain relieved by massage/rubbing], snigdhabhōjyaiḥ śamaṁ prayāti (śūlaḥ) [pain relieved by unctuous food], uṣṇabhōjyaiḥ śamaṁ prayāti (śūlaḥ) [pain relieved by hot food]",-,śūla due to vāta,-
628,635,EB-10.2,pittajaSUlaH,pittajaśūlaḥ,पित्तजशूलः,-,"the disorder is characterized by tr̥ṣṇā/tr̥ṭ [thirst], dāhaḥ [burning sensation], madaḥ [intoxication], mūrcchā [syncope/attacks of swooning], tīvrasūlaḥ [severe pain (colic)], śītābhikāmatā [desire for cold], śītēna śāmyati (śūlaḥ) [pain decreases with cold], mōhaḥ [confusion/delirium], ārtiḥ nābhyām [pain in umbilical region], saṁsvēdaḥ [perspiration], bhramaḥ [giddiness or dizziness], cōṣaḥ [sucking type of pain], madhyandinē kupyati (śūlaḥ) [pain gets exacerbated at noon], ardharātrē kupyati (śūlaḥ) [pain gets exacerbated at midnight], vidāhakālē kupyati (śūlaḥ) [pain gets exacerbated at the time of digestion of food], jaladātyayē kupyati (śūlaḥ) [pain gets exacerbated in autumn/śarat r̥tu], śītaiḥ samupaiti śāntiṁ (śūlaḥ) [relieved during cold season], susvādu bhōjanai samupaiti śāntiṁ (śūlaḥ) [relieved during sweet food], śītairapi bhōjanai samupaiti śāntiṁ (śūlaḥ) [relieved during cold food]",-,śūla due to pitta,-
629,636,EB-10.3,kaPajaSUlaH,kaphajaśūlaḥ,कफजशूलः,-,"the disorder is characterized by hr̥llāsaḥ [nausea], atipūrṇakōṣṭhatā [severe fullness of abdomen], gurugātratā [heaviness of body], kāsaḥ [cough], sadanam [exhaustion], aruciḥ [tastelessness], prasēkaḥ [excessive salivation], āmāśayē stimitatā [stillness of stomach, feels as if amaśaya wrapped with wet cloth], kōṣṭhagurutā [heavyness of abdomen], śirōgurutā [heavyness of head], bhuktē kupyati (śūlaḥ) [pain increases on eating], sūryōdayē kupyati (śūlaḥ) [pain increases at sunrise], śiśirē kupyati (śūlaḥ) [pain increases in śiśira r̥tu], kusumāgamē kupyati (śūlaḥ) [pain increases in spring]",-,śūla due to kapha,-
630,637,EB-10.4,sAnnipAtikaSUlaH,sānnipātikaśūlaḥ,सान्निपातिकशूलः,-,the disorder is characterized by sarvāṇi rūpāṇi [clinical features of all types of dōṣain śūla],-,śūla due to three dōṣa,-
631,638,EB-10.5,AmaSUlaH,āmaśūlaḥ,आमशूलः,-,"the disorder is characterized by āṭōpaḥ [gurgling sound of the intestines/barborygmus], hr̥llāsaḥ [nausea], vamiḥ [vomiting], gurutvam [heaviness], staimityam [a sensation of being covered with wet clothes], ānāhaḥ [barborygmus with distention], kaphaprasēkaḥ [excessive salivation], kaphasya liṅgēna samānaliṅgam [features of kaphaja śula]",-,śūla due to āma,-
632,639,EB-10.6,kukShiSUlaH,kukṣiśūlaḥ,कुक्षिशूलः,-,"the disorder is characterized by apaktiḥ [indigestion], udarastabdhatā [stiffness of abdomen/loss of peristalsis], ucchvāsaḥ [increased respiration], āmaśakr̥tpravr̥ttiḥ [undigested food matter within stools/defecation of feces alongwith āma], śūlēna āhanyatē muhuḥ [repeated manifestation of śūla], āsanē na labhatē sukham [discomfort in sitting position], śayanē na labhatē sukham [discomfort in sleeping position], tiṣṭhan na labhatē sukham [discomfort in standing position]",-,abdominal colic,-
633,640,EB-10.7,dvandvajaSUlaH,dvandvajaśūlaḥ,द्वन्द्वजशूलः,-,-,-,śūla due to two dōṣa,-
634,641,EB-10.8,vAtapaittikaSUlaH,(a) vātapaittikaśūlaḥ,वातपैत्तिकशूलः,-,"It is characterised by severe pain on empty stomach, heartburn, epigastric pain, thirst, may be associated with nausea, vomiting, giddiness, constipation. This may be explained by: (a) Impairement of digestive and metabolic factors, vitated vata, pitta and kapha.",-,Gastritis disorder (TM2),-
635,642,EB-10.9,amlapittajaSUlaH,,अम्लपित्तजशूलः,-,-,-,śūla due to amlapitta,-
636,643,EB-10.10,pariNAmaSUlaH,(a) pariṇāmaśūlaḥ,परिणामशूलः,-,"It is characterised by stabbing or piercing pain in the abdomen which is felt during digestion of food and may be associated with indigestion, flatulence, nausea, depression, insomnia, diarrhoea, pricking pain in the sides of the chest, false appetite and fever. This may be explained by: (a) Impairement of digestive and metabolic factors, vitated vata, pitta.",-,Duodenal ulcer disorder (TM2),-
637,644,EB-10.10.1,vAtikapariNAmaSUlaH,,वातिकपरिणामशूलः,-,-,-,pariṇāmaśūla due to vāta,-
638,645,EB-10.10.2,paittika-pariNAmaSUlaH,,पैत्तिक-परिणामशूलः,-,-,-,pariṇāmaśūla due to pitta,-
639,646,EB-10.10.3,kaPaja-pariNAmaSUlaH,,कफज-परिणामशूलः,-,-,-,pariṇāmaśūla due to kapha,-
640,647,EB-10.11,annadravaSUlaH,(a) annadravaśūlaḥ,अन्नद्रवशूलः,-,"It is characterised by epigastric pain before and after food intake may be asociated with excessive salivary secretion, headache, , sweating, frequent belching with sour or foul smell, nausea, vomiting, stomatitis, diarrhoea. This may be explained by: (a) Impairement of digestive and metabolic factors, vitated vata, pitta.",-,Gastric ulcer disorder (TM2),-
641,648,EB-10.12,bastiSUlaH,,बस्तिशूलः,-,-,-,cystodyna/cystalgia,-
642,649,EB-10.13,nABi-SUlaH,,नाभि-शूलः,-,-,-,peri-umbilical pain,-
643,650,EB-10.14,hRudayaSUlaH,,हृदयशूलः,-,-,-,cardialgia/precordial pain,-
644,651,EB-10.15,pArSvarujaH/pArSvaSUlaH,(a) pārśvarujaḥ                      (a) pārśvaśūlaḥ,पार्श्वरुजः/पार्श्वशूलः,-,"It is characterised by severe pain in both flanks. It may be asociated with restlessness, abdominal discomfort, lack of appetite, sleeplessness. This may be explained by: (a) Deranged digestive and metabolic factors, vitiated kapha, pitta and vata affecting the flanks.",Note: Also Classifed under #san@bAlarOgaH-sa~gkIrNa#[MD],Flank pain disorder (TM2),-
645,652,EB-10.16,trikaSUlaH,trikaśūlaḥ,त्रिकशूलः,-,-,-,sacralgia,-
646,653,EB-10.17,mUtraSUlaH,mūtraśūlaḥ,मूत्रशूलः,-,"the disorder is characterized by nābhiśūlaḥ [pain in the umbilical region], vaṁkṣaṇaśūlaḥ [pain in groin region], pārśvaśūlaḥ [pain in sides of chest/flanks], kukṣiśūlaḥ [pain in abdomen], mēḍhraśūlaḥ [penile pain], āntraśūlaḥ [pain in intestines (colic]",-,dysuria/algiuria,-
647,654,EB-10.18,purIShaSUlaH,purīṣaśūlaḥ,पुरीषशूलः,-,"the disorder is characterized by malarōdhaḥ [constipation], agnimāndyam [diminution of agni (digestive power)], tīvraśūlaḥ [severe pain], dakṣiṇakukṣyāśrayaḥ [pain in right side of abdomen], vāmakukṣyāśrayaḥ [pain in left side of abdomen], sarvatra vardhatē śūlam [pain in whole abdomen], kṣipraṁ vardhatē śūlam [quick increase in pain], bhramaṇaśīlaśūlam [wandering pain], ghōṣayuktaśūlam [pain with abdominal sound], tīvrapipāsā [severe thirst], bhramaḥ [giddiness or dizziness], mūrcchā [syncope/attacks of swooning], uccāritē (purīṣapravr̥̄ttau) na śūlaśāntiḥ [pain not relieved after defecation], mūtritē na śūlaśāntiḥ [pain not relieved after micturition]",-,dyschezia,-
648,655,EB-10.19,avipAkajaSUlaH,avipākajaśūlaḥ,अविपाकजशूलः,-,"the disorder is characterized by tīvraśūlam [severe colicky pain], mūrcchā [syncope/attacks of swooning], ādhmānam [abdominal distension], vidāhaḥ [internal burning sensation], hr̥dutklēśaḥ [nausea], vilaṁbikā [signs of vilambika], virēcanam [purgation], chardiḥ [vomiting], kaṁpaḥ [tremors], mōhaḥ [confusion/delirium]",-,śūla due to dyspepsia,-
649,656,EB-11,udAvartaH,(a) udāvartaḥ,उदावर्तः,-,"It is characterised by retention of feces, non passing of flatus, urine, severe abdominal pain. This may be explained by: (a) Severe vitiation of vata leading to impaired function of stomach and intestines.",-,Volvulus disorder (TM2),-
650,657,EB-11.1,udAvarta-pUrvarUpam,udāvarta-pūrvarūpam,उदावर्त-पूर्वरूपम्,-,-,-,prodromes of udāvarta,-
651,658,EB-11.2,vAtanigrahaja-udAvartaH,vātanigrahaja-udāvartaḥ,वातनिग्रहज-उदावर्तः,-,"the disorder is characterized by ādhmānam/dhmānam [abdominal distension], śūlaḥ [colicky pain in the abdomen], hr̥dayōparōdhaḥ [feeling of obstruction in the precordial region/impairment of cardiac activity- bradycardia], śirōrujā [headache], śvāsam [breathlessness/difficult breathing], hikkā [hiccup], kāsaḥ [cough], kāsaḥ [cough], pratiśyāyaḥ [cold, catarrh], galagrahaḥ [choking sensation in throat], mukhataḥ purīṣakṣēpaḥ [expulsion of feces through mouth], vāta-saṅgaḥ [retention of vāyu/flatus], mūtra-saṅgaḥ [obstruction/retention in passage of urine], purīṣa-saṅgaḥ [obstruction/retention to the passage of faeces], klamaḥ [exhaustion without exertion], rujā [pain], jaṭharē vātajāścānyē rōgāḥ [various other vātika abdominal disease]",-,udāvarta due to suppression of vāta,-
652,659,EB-11.3,mUtrABighAtaja-udAvartaH,mūtrābhighātaja-udāvartaḥ,मूत्राभिघातज-उदावर्तः,-,"the disorder is characterized by kr̥cchrēṇamūtrapravartanam [difficulty in micturition], alpālpamūtrapravartanam [scanty micturition], mēḍhraśūlaḥ/mēhanaśūlam [penile pain], gudaśūlaḥ [proctalgia], vaṁkṣaṇaśūlaḥ [pain in groin region], bastiśulaḥ [pain in basti/urinary bladder], muṣkaśūlaḥ [pain in scrotum], nābhiśūlaḥ [pain in the umbilical region], mūrdhaśūlaḥ/śirōrujā [headache], bastyādhmānam [bloating of basti/urinary bladder], mūtrakr̥cchram [dysuria], vināmaḥ [bending of the body due to pain], vaṅkṣaṇānāhaḥ [distension in the lower abdomen]",-,udāvarta due to retention of mūtra,-
653,660,EB-11.4,purIShABighAtaja-udAvartaH,purīṣābhighātaja-udāvartaḥ,पुरीषाभिघातज-उदावर्तः,-,"the disorder is characterized by āṭōpaḥ [gurgling sound of the intestines/barborygmus], śūlaḥ [colicky pain in the abdomen], parikartikā [cutting type of pain in the anal region], purīṣa-saṅgaḥ [obstruction/retention to the passage of faeces], ūrdhvavātaḥ [eructation/upward movement of vāyu], āsyātpurīṣa-nirgamanam [faecal vomoting]",-,udāvarta due to retention of faeces,-
654,661,EB-11.5,SukrABighAtaja-udAvartaH,śukrābhighātaja-udāvartaḥ,शुक्राभिघातज-उदावर्तः,-,"the disorder is characterized by mūtrāśayaruja [pain in bladder], pāyuruja/gudarujā [anal pain], muṣkaruja [pain in scrotum], mūtrāśayaśōpha [swelling in bladder], pāyuśōpha/gudaśōpha [swelling in anus], muṣkaśōpha [scrotal oedema], mūtravinigraha [urinary retention], śukrāśmarī [seminal calculi/precipitated semen as calculus], śukrasravaṇam [premature ejaculation]",-,udāvarta due to suppression of śukra,-
